#{"t_start": 1620967668.4467273, "env_id": "HalfCheetah-v3"}
r,l,t
21.953048,1000,5130.94341
22.673848,1000,5137.553641
22.301969,1000,5144.111408
22.209962,1000,5150.658323
23.172584,1000,5156.983001
23.381509,1000,5163.579639
22.082477,1000,5176.765513
21.683504,1000,5183.330375
22.896973,1000,5189.982056
22.136684,1000,5196.578752
22.630599,1000,5203.242284
22.628863,1000,5209.893189
22.566607,1000,5216.585975
22.506145,1000,5222.84989
22.911038,1000,5229.418496
23.350942,1000,5236.049127
21.878313,1000,5249.032533
22.51745,1000,5255.653369
22.518173,1000,5262.268148
22.94628,1000,5268.899655
22.489939,1000,5275.618516
22.585161,1000,5282.235227
22.582573,1000,5288.81711
23.06122,1000,5294.984713
22.034962,1000,5301.734122
22.511434,1000,5308.42313
22.803247,1000,5321.349237
22.883764,1000,5328.052727
21.690619,1000,5334.702239
22.190426,1000,5341.327276
22.202383,1000,5347.9504
22.256817,1000,5354.770132
22.433236,1000,5361.16839
22.285734,1000,5367.456927
23.091804,1000,5374.13006
22.174837,1000,5380.848278
22.965685,1000,5394.015189
23.329652,1000,5400.669837
22.317062,1000,5407.393066
23.226513,1000,5413.991292
22.044643,1000,5420.5955
22.721665,1000,5427.273448
23.131127,1000,5433.617215
22.820296,1000,5440.046829
22.618478,1000,5446.620267
22.271159,1000,5453.289575
22.764773,1000,5466.444485
22.722036,1000,5473.029159
22.109847,1000,5479.574244
22.368331,1000,5486.235846
22.934985,1000,5492.876784
22.547273,1000,5499.465391
21.715722,1000,5505.654974
23.289454,1000,5512.293059
23.637943,1000,5519.03699
22.421444,1000,5525.66896
22.998191,1000,5538.750754
22.987055,1000,5545.330797
21.736339,1000,5551.996505
22.73679,1000,5558.567739
23.503599,1000,5565.299974
23.360259,1000,5571.866172
22.915713,1000,5578.193538
23.519545,1000,5584.822894
22.540777,1000,5591.45978
23.125527,1000,5598.188722
22.896599,1000,5611.188007
23.18839,1000,5617.796423
22.455348,1000,5624.448873
22.257339,1000,5631.062032
22.964896,1000,5637.849006
23.026161,1000,5644.068815
22.626267,1000,5650.633497
23.399729,1000,5657.282564
22.91475,1000,5663.8684
22.427581,1000,5670.461109
22.698394,1000,5683.508125
23.135934,1000,5690.192431
21.521937,1000,5696.984627
23.104137,1000,5703.696587
22.381219,1000,5710.409552
22.22943,1000,5716.559651
23.344881,1000,5723.135976
23.714666,1000,5729.844783
23.546885,1000,5736.414306
23.888517,1000,5743.047945
23.10956,1000,5756.119514
23.464182,1000,5762.73095
23.105997,1000,5769.359917
23.599692,1000,5775.95233
23.245378,1000,5782.408711
23.47195,1000,5788.797567
23.065877,1000,5795.383275
23.222292,1000,5802.007143
23.266732,1000,5808.710802
23.401891,1000,5815.323436
22.853494,1000,5828.330949
23.535204,1000,5835.009126
22.534108,1000,5841.61304
23.90797,1000,5848.245144
23.019499,1000,5854.506826
23.682412,1000,5860.990527
22.931257,1000,5867.581553
23.50651,1000,5874.204157
23.535102,1000,5880.82515
23.091138,1000,5887.538123
23.548884,1000,5900.571
23.561928,1000,5907.194998
23.876443,1000,5913.893385
23.726382,1000,5920.690096
23.476773,1000,5926.791163
23.07549,1000,5933.339772
22.921649,1000,5939.996677
23.645979,1000,5946.676361
23.993739,1000,5953.246006
23.008828,1000,5959.811511
24.433408,1000,5972.892403
23.432168,1000,5979.546758
24.167076,1000,5986.108444
23.435161,1000,5992.652681
23.668566,1000,5998.932862
22.855734,1000,6005.541983
23.353406,1000,6012.077292
23.940676,1000,6018.702011
22.787678,1000,6025.30698
24.095356,1000,6031.974324
23.627281,1000,6045.021523
23.764486,1000,6051.569378
23.734729,1000,6058.28151
24.03778,1000,6064.578158
23.668594,1000,6071.019298
23.033548,1000,6077.593718
24.34005,1000,6084.17614
23.408553,1000,6090.810555
24.116543,1000,6097.491704
23.665857,1000,6104.094458
23.440176,1000,6117.131474
22.966012,1000,6123.820475
23.2027,1000,6130.356533
24.26669,1000,6136.493989
24.360849,1000,6143.033449
24.051562,1000,6149.80267
24.811293,1000,6156.394136
24.074339,1000,6163.011168
23.07538,1000,6169.665082
23.611778,1000,6176.343031
23.666795,1000,6189.391317
23.846476,1000,6196.042851
23.467193,1000,6202.50099
23.130796,1000,6208.75235
23.826079,1000,6215.402795
24.504815,1000,6222.192883
23.784248,1000,6228.805884
22.991265,1000,6235.445951
23.772086,1000,6242.0599
22.997566,1000,6248.767318
23.874823,1000,6261.785488
24.474456,1000,6268.46573
23.455586,1000,6274.773414
23.687914,1000,6281.277624
24.268699,1000,6287.942141
24.571241,1000,6294.632177
23.606966,1000,6301.377472
23.7882,1000,6308.092732
23.875919,1000,6314.692827
24.305721,1000,6321.345897
25.608635,1000,6334.529842
22.931704,1000,6341.077654
23.618208,1000,6347.201387
24.832655,1000,6353.765598
23.089407,1000,6360.484046
23.48111,1000,6367.096308
23.675057,1000,6373.711871
24.332895,1000,6380.348683
23.636265,1000,6387.101002
24.993548,1000,6393.747473
23.150544,1000,6406.713626
24.071213,1000,6413.288332
