#{"t_start": 1595746395.970126, "env_id": "Hopper-v3"}
r,l,t
4.808393,1000,1991.303061
4.94631,1000,1998.827597
3.458234,1000,2006.782905
4.656553,921,2014.207323
1.489781,317,2016.691097
0.514847,120,2017.589963
1.708942,370,2020.568162
0.464342,169,2021.989285
1.835967,360,2024.873275
1.634402,457,2028.464598
1.089018,179,2029.929584
1.950277,404,2033.125608
1.847376,364,2035.998969
0.568539,122,2036.991547
1.472614,280,2039.15342
3.332188,588,2043.812287
1.771168,316,2046.31506
1.412221,261,2048.447215
1.069985,253,2050.472052
0.685303,190,2051.943302
0.702479,175,2053.347766
1.11369,212,2058.699301
0.564999,176,2060.197165
1.582458,308,2062.58746
1.299959,248,2064.517258
1.036021,221,2066.337295
1.580275,311,2068.758036
0.772294,168,2070.111823
5.605574,1000,2078.179861
1.201712,284,2080.318518
5.083769,1000,2087.86131
4.960736,923,2095.180138
4.357977,1000,2102.947567
5.039857,1000,2110.827347
3.177277,633,2115.920532
2.778244,489,2119.827667
5.768655,1000,2127.722489
1.995847,372,2130.753222
3.329147,554,2135.229185
0.622478,167,2136.545391
4.569249,815,2151.41555
5.310932,1000,2159.402557
5.24522,1000,2167.313509
1.706476,369,2170.247357
1.386423,309,2172.637059
1.72831,337,2175.16802
2.482247,510,2178.954861
4.71507,1000,2186.966111
5.334995,1000,2194.873791
5.384596,1000,2202.631558
2.259787,511,2206.727994
0.787083,150,2207.929172
4.803988,1000,2215.914049
4.257442,823,2222.389902
5.161978,1000,2238.819752
5.479034,1000,2246.807398
5.012211,890,2253.829324
0.146483,31,2254.159487
4.311194,1000,2262.021651
2.251166,435,2265.216011
3.582063,602,2269.732134
3.516971,648,2274.901043
5.537861,1000,2282.745644
2.855983,486,2286.616875
5.134173,1000,2294.479761
5.355541,1000,2302.56296
4.211228,676,2307.851494
3.312373,633,2321.397447
4.461486,929,2328.769471
5.023658,1000,2336.649896
5.230141,1000,2344.569345
4.767964,924,2351.882835
1.542474,307,2354.205402
2.359744,445,2357.500871
3.616699,746,2363.241018
1.994378,382,2366.337531
5.179022,1000,2374.222607
1.599625,309,2376.638082
1.594695,310,2379.105671
2.012705,368,2381.931451
0.831458,224,2383.822793
5.56156,991,2391.73209
5.273682,1000,2408.194838
4.934054,1000,2415.93351
4.747094,787,2422.26624
5.223084,1000,2430.274882
5.177243,1000,2438.197728
5.317336,1000,2445.793836
1.894513,406,2448.905691
5.308233,1000,2456.904951
1.743235,336,2459.589382
5.443974,1000,2467.511282
5.46259,1000,2475.341247
4.997084,967,2483.181713
5.581549,1000,2499.707369
